id,source_id,city,school,title,post_date,year,job_category,position_keywords,degree_requirement,major_requirement,political_requirement,fresh_graduate,deadline,summary,list_url,detail_url,attachment_urls,content_hash,first_seen_at,last_seen_at,status,is_new_today
127,LNJYT_GSGG,省级,辽宁省教育厅,辽宁省“特岗计划”学费补偿和国家助学贷款代偿人员名单及金额公示,2026-08-04,2026,招聘后续通知,,本科,详见官方公告,未明确,未明确,2026-08-10,辽宁省“特岗计划”学费补偿和国家助学贷款代偿人员名单及金额公示 辽宁省人民政府 邮箱系统 无障碍浏览 首页 基础教育 高等教育 网点地图 职业教育 机构 省教育厅（省委教育工委）领导 省教育厅工作职责 业务处室 直属单位 新闻 头版头条 教育部信息 省委省政府信息 教育要闻 战线联播 图片新闻 公开 最新通知 公示公告 教育文件 政策解读 政府信息公开 服务 政务服务 便民服务 互动 12345综合服务平台 群众投诉 征求意见 依申请公开 专题 便民服务 助学贷款政策 辽宁省,https://jyt.ln.gov.cn/jyt/gk/gsgg/index.shtml,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080410094516226/index.shtml,,d5a5b29231719ae51a35dc159a851d2823cfd8de19459c3e51eb3ed90ed7ff96,2026-08-04 06:05:34,2026-08-06 06:05:57,有效,0
76,SYRS_SYDW,沈阳,沈阳市人力资源和社会保障局,就业创业信息,2026-08-04,2026,行政管理,行政,博士,详见官方公告,未明确,未明确,,就业创业信息-沈阳市人力资源和社会保障局 欢迎访问沈阳市人社局！今天是 加入收藏 | 设为首页 无障碍辅助浏览工具条 | 导航列表 就业资讯 人力资源市场供求信息 事业单位招录信息 就业创业补贴 就业政策解读 就业创业政策 就业创业信息 您的位置： 首页 > 政务公开重点工作 > 就业创业信息 沈阳市在全国“创赢未来”2026创业大赛中获佳绩 2026-08-04 苏家屯区解放街道金山社区：搭建就业暖心桥 服务群众零距离——开展“百日千万”就业大集招聘会 2026-07-24,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/,,85f5cdb2a86bce122085a34a73595eabc582c1ad247c741aed91dd33d75315f7,2026-07-14 10:00:09,2026-08-06 06:05:28,有效,0
129,LNJYT_GSGG,省级,辽宁省教育厅,关于大连枫叶职业技术学院举办者变更的公示,2026-08-03,2026,招聘后续通知,,本科,详见官方公告,未明确,未明确,,关于大连枫叶职业技术学院举办者变更的公示 辽宁省人民政府 邮箱系统 无障碍浏览 首页 基础教育 高等教育 网点地图 职业教育 机构 省教育厅（省委教育工委）领导 省教育厅工作职责 业务处室 直属单位 新闻 头版头条 教育部信息 省委省政府信息 教育要闻 战线联播 图片新闻 公开 最新通知 公示公告 教育文件 政策解读 政府信息公开 服务 政务服务 便民服务 互动 12345综合服务平台 群众投诉 征求意见 依申请公开 专题 便民服务 助学贷款政策 辽宁省教育厅 无障碍浏览 首,https://jyt.ln.gov.cn/jyt/gk/gsgg/index.shtml,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080316123895529/index.shtml,,2076dacd672e7141133eaa925ce499b8bdc51f230c497a0801d14d49e913e232,2026-08-04 06:05:34,2026-08-06 06:05:57,有效,0
128,LNJYT_GSGG,省级,辽宁省教育厅,辽宁省高中等教育招生考试委员会办公室2026年集中面向社会公开招聘拟聘人员公示,2026-08-03,2026,招聘后续通知,办公室,本科,详见官方公告,未明确,未明确,,辽宁省高中等教育招生考试委员会办公室2026年集中面向社会公开招聘拟聘人员公示 辽宁省人民政府 邮箱系统 无障碍浏览 首页 基础教育 高等教育 网点地图 职业教育 机构 省教育厅（省委教育工委）领导 省教育厅工作职责 业务处室 直属单位 新闻 头版头条 教育部信息 省委省政府信息 教育要闻 战线联播 图片新闻 公开 最新通知 公示公告 教育文件 政策解读 政府信息公开 服务 政务服务 便民服务 互动 12345综合服务平台 群众投诉 征求意见 依申请公开 专题 便民服务 助学,https://jyt.ln.gov.cn/jyt/gk/gsgg/index.shtml,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080318202033824/index.shtml,,cb23dc1f3808ec0eb4acf299d4779ebe4a6fdad35e6b9a39568f1cfcce49845e,2026-08-04 06:05:34,2026-08-06 06:05:57,有效,0
126,DLUT_HR,大连,大连理工大学,07-31 2026 进校人员公示（2026年第31次）,2026-07-31,2026,招聘后续通知,管理岗,博士,详见官方公告,未明确,未明确,,进校人员公示（2026年第31次）-人力资源处 中文 | English 首页 人才招聘 招聘首页 人才引进 招聘信息 教授课题组招聘 工作动态 机构设置 通知公告 通知公告 七级管理岗任命 师资队伍 师德监督 师德监督 师德师风建设分委员会 博士后工作 流动站简介 政策文件 新闻通告 办事指南 表格下载 党务工作 办事指南 师资室 人事工作室 工资保险室 综合室 文档下载 人才发展室 师资室 人事工作室 工资保险室 综合室 进校人员公示（2026年第31次） 2026-07,https://perdep.dlut.edu.cn/,https://perdep.dlut.edu.cn/info/1141/23051.htm,,04caba06db7ebe26f512958ce4246f2d0c6ae4e010703959d00f859d15787e7d,2026-07-31 06:21:04,2026-08-06 06:03:20,有效,0
125,LNU_HR,沈阳,辽宁大学,辽宁大学2026年面向社会公开招聘工作人员拟聘人员公示,2026-07-30,2026,招聘后续通知,,不限/未明确,详见官方公告,未明确,未明确,,辽宁大学2026年面向社会公开招聘工作人员拟聘人员公示-辽宁大学 人事处 首页 | 单位介绍 | 机构设置 | 工作职责 | 政策法规 | 现任领导 | 人才招聘 | 下载专区 | 联系我们 · 人事科主要工作职责 · 师资科主要工作职责 · 劳资科主要工作职责 · 人才交流中心主要工作职责 · 教职工思想政治教育与师德师风建设... · 考核工作科主要工作职责 · 辽宁人事人才公共服务网 · 辽宁省人民政府 · 辽宁省人事考试网 · 人才招聘 辽宁大学2026年面向社会公开,https://rsc.lnu.edu.cn/rczp.htm,https://rsc.lnu.edu.cn/info/10465/70782.htm,https://rsc.lnu.edu.cn/__local/A/80/AE/6C1C29E9082516CE21149FAE355_81A30424_3CAA.xlsx,1aec956833857555eaa41298f7e92ee64ae6f65c95a12d4da69177a5fedebf2f,2026-07-30 05:53:48,2026-08-06 06:04:57,有效,0
124,LNU_HR,沈阳,辽宁大学,辽宁大学2026年度公开招聘高层次和急需紧缺人才体检通知,2026-07-24,2026,招聘后续通知,,不限/未明确,详见官方公告,未明确,未明确,,辽宁大学2026年度公开招聘高层次和急需紧缺人才体检通知-辽宁大学 人事处 首页 | 单位介绍 | 机构设置 | 工作职责 | 政策法规 | 现任领导 | 人才招聘 | 下载专区 | 联系我们 · 人事科主要工作职责 · 师资科主要工作职责 · 劳资科主要工作职责 · 人才交流中心主要工作职责 · 教职工思想政治教育与师德师风建设... · 考核工作科主要工作职责 · 辽宁人事人才公共服务网 · 辽宁省人民政府 · 辽宁省人事考试网 · 人才招聘 辽宁大学2026年度公开招聘,https://rsc.lnu.edu.cn/rczp.htm,https://rsc.lnu.edu.cn/info/10465/70781.htm,,e156769a9610a4c0d4ba79bd45339558f20f6810dfd34b58b08c75f70e0b78bd,2026-07-25 05:51:44,2026-08-06 06:04:57,有效,0
121,DLUT_HR,大连,大连理工大学,07-24 2026 人力资源处2026年暑假值班表,2026-07-24,2026,行政管理,管理岗,博士,详见官方公告,未明确,未明确,,人力资源处2026年暑假值班表-人力资源处 中文 | English 首页 人才招聘 招聘首页 人才引进 招聘信息 教授课题组招聘 工作动态 机构设置 通知公告 通知公告 七级管理岗任命 师资队伍 师德监督 师德监督 师德师风建设分委员会 博士后工作 流动站简介 政策文件 新闻通告 办事指南 表格下载 党务工作 办事指南 师资室 人事工作室 工资保险室 综合室 文档下载 人才发展室 师资室 人事工作室 工资保险室 综合室 人力资源处2026年暑假值班表 2026-07-24 ,https://perdep.dlut.edu.cn/,https://perdep.dlut.edu.cn/info/1141/22981.htm,,1289519251181865173fc7bd0de06402c729e9da2501d10fccb09bed6ef303c5,2026-07-24 06:03:13,2026-08-06 06:03:20,有效,0
123,SYRS_SYDW,沈阳,沈阳市人力资源和社会保障局,2026年辽宁省事业单位非综合行政执法类岗位集中面向社会公开招聘沈阳市拟聘用人员公示（第一批）,2026-07-23,2026,招聘后续通知,行政,不限/未明确,详见官方公告,未明确,未明确,,2026年辽宁省事业单位非综合行政执法类岗位集中面向社会公开招聘沈阳市拟聘用人员公示（第一批）-事业单位招录信息-沈阳市人力资源和社会保障局 欢迎访问沈阳市人社局！今天是 加入收藏 | 设为首页 无障碍辅助浏览工具条 | 网站首页 新闻中心 政务公开 办事服务 互动交流 专题专栏 网站导航 导航列表 就业资讯 人力资源市场供求信息 事业单位招录信息 就业创业补贴 就业政策解读 就业创业政策 事业单位招录信息 您的位置： 首页 > 政务公开重点工作 > 就业创业信息 > 事业单,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/202607/t20260723_5061831.html,,0237992e1fa3ba377d89e9ff1674f6e21dbba31999333df3231e5411639fa7d7,2026-07-24 06:05:17,2026-08-06 06:05:28,有效,0
74,SYRS_SYDW,沈阳,沈阳市人力资源和社会保障局,事业单位招录信息,2026-07-23,2026,行政管理,行政,不限/未明确,详见官方公告,未明确,未明确,,事业单位招录信息-沈阳市人力资源和社会保障局 欢迎访问沈阳市人社局！今天是 加入收藏 | 设为首页 无障碍辅助浏览工具条 | 网站首页 新闻中心 政务公开 办事服务 互动交流 专题专栏 网站导航 导航列表 就业资讯 人力资源市场供求信息 事业单位招录信息 就业创业补贴 就业政策解读 就业创业政策 事业单位招录信息 您的位置： 首页 > 政务公开重点工作 > 就业创业信息 > 事业单位招录信息 2026年辽宁省事业单位非综合行政执法类岗位集中面向社会公开招聘沈阳市拟聘用人员公示,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/,,4fc41c533ce2cdbb3439d4f9a5c4f14203d3cccbc3c4313fe95494e89e51a643,2026-07-14 10:00:09,2026-08-06 06:05:28,有效,0
